2021-04-29 18:16:23,b'@bubbly_ank @TVSPRAKASH @zomato @SwiggyCares please do your part in helping poor you can collect the delivery charg\xe2\x80\xa6 https://t.co/kgjTmEgxqw',b'Chaitanyaackr',b'Hyderabad'
2021-04-29 18:00:10,b'Don\xe2\x80\x99t Went To Cook Order Takeaway https://t.co/o6ErifWJjj #takeaway #delivery #food #foodporn #foodie #instafood\xe2\x80\xa6 https://t.co/IQDF1dXAJb',b'DudleySpice',"b'Dudley, England'"
2021-04-29 17:55:36,b'We are providing home cooked food. as per requirement during this pandemic.Everything freshly prepared keeping in m\xe2\x80\xa6 https://t.co/ehvgQjasJ8',b'rajatmal',b'Delhi'
2021-04-29 17:51:33,b'James Founder Deborah Williamson and ChowNow CEO @ChrisChowNow on the impact of COVID-19 on restaurants and food de\xe2\x80\xa6 https://t.co/bd3dCzgIRR',b'YahooFinance',"b'New York, NY'"
2021-04-29 17:47:45,"b'With the second wave of #COVID19 hitting India adversely, @Seasiainfotech created a #CovidTaskForce to support its\xe2\x80\xa6 https://t.co/ltoRUOIh5o'",b'Seasiainfotech',"b'USA, Australia, India, Canada'"
2021-04-29 17:10:29,"b'Recently, PPHI received a #NoKidHungry Early Childhood Grant to support the prescription program and help build a n\xe2\x80\xa6 https://t.co/5KRJDKhyqO'",b'nokidhungry',"b'Washington, DC'"
2021-04-29 17:04:17,"b'Global Online Food Delivery Services Market Report 2021: COVID-19 Growth, Impacts and\xc2\xa0\xe2\x80\xa6 https://t.co/GVWQJV0sCS'",b'tablelead',"b'Virginia, USA'"
2021-04-29 16:55:16,b'@DizisSANDY Food delivery for COVID patient kosam tweeted',b'a_Suman_',b'Hyderabad'
2021-04-29 16:44:55,"b'Delhi Gurudwara starts \xe2\x80\x9coxygen langar\xe2\x80\x9d, food delivery for COVID-19\xc2\xa0patients https://t.co/atQUVxA4Qm'",b'Matters_India',"b'Delhi, India'"
2021-04-29 16:37:35,b'Lastly if anyone from kolkata is unable to cook for themselves and their family this is a home delivery service off\xe2\x80\xa6 https://t.co/68ipznA1Vm',b'scarletwoman19',b''
